"Issue Name","Issue Type","Issue Priority","Pillar","URL","Detail"
"Security: HTTP URLs","Issue","High","security","http://127.0.0.1:8899/","Page served over plain HTTP"
"Page Titles: Over 60 Characters","Opportunity","Medium","technical","http://127.0.0.1:8899/","Title is 64 characters: 'Autonomous AI Agency v5 - Your AI-powered workforce | StrikerSam'"
"Meta Description: Missing","Opportunity","Low","technical","http://127.0.0.1:8899/","Page has no (or an empty) meta description"
"Canonicals: Missing","Warning","Medium","technical","http://127.0.0.1:8899/","Page declares no canonical URL"
"H2: Multiple","Warning","Low","technical","http://127.0.0.1:8899/","Page has 4 <h2> elements"
"GEO: Headings Without Anchor IDs","Opportunity","Low","geo","http://127.0.0.1:8899/","None of the 13 h2/h3 headings have id attributes"
"Content: Readability Very Difficult","Opportunity","Low","content","http://127.0.0.1:8899/","Flesch reading ease is 17.4"
"Links: Pages Without Internal Outlinks","Warning","High","technical","http://127.0.0.1:8899/","Page links to no other internal pages"
"AIO: Missing Breadcrumb Schema","Opportunity","Low","aio","http://127.0.0.1:8899/","No BreadcrumbList schema on the page"
"Social: Missing Open Graph Tags","Opportunity","Medium","social","http://127.0.0.1:8899/","Page has no Open Graph tags"
"Social: Missing Twitter Card","Opportunity","Low","social","http://127.0.0.1:8899/","Page has no twitter:card meta tag"
"GEO: Missing robots.txt","Warning","Medium","geo","http://127.0.0.1:8899/","No robots.txt found"
"GEO: Missing XML Sitemap","Issue","Medium","geo","http://127.0.0.1:8899/","No XML sitemap found"
"GEO: Missing llms.txt","Opportunity","Medium","geo","http://127.0.0.1:8899/","No llms.txt found"
"GEO: Missing RSS/Atom Feed","Opportunity","Low","geo","http://127.0.0.1:8899/","No RSS/Atom feed discovered"
"Validation: Missing Favicon","Opportunity","Low","technical","http://127.0.0.1:8899/","No favicon discovered"
"Security: Missing Content-Security-Policy Header","Warning","Low","security","http://127.0.0.1:8899/","Missing Content-Security-Policy header"
"Security: Missing X-Content-Type-Options Header","Warning","Low","security","http://127.0.0.1:8899/","Missing X-Content-Type-Options header"
"Security: Missing X-Frame-Options Header","Warning","Low","security","http://127.0.0.1:8899/","Missing X-Frame-Options header (and no CSP frame-ancestors)"
"Security: Missing Secure Referrer-Policy Header","Warning","Low","security","http://127.0.0.1:8899/","Missing secure Referrer-Policy header"
"AIO: Missing Organization Schema","Opportunity","Medium","aio","http://127.0.0.1:8899/","No Organization or WebSite schema found on any crawled page"
