"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"Security: HTTP URLs","Issue","High","1","100.000","Pages served over plain HTTP. HTTPS is a ranking signal and browsers mark HTTP pages as 'not secure'.","Serve all pages over HTTPS and 301 redirect HTTP to HTTPS.","https://developers.google.com/search/docs/crawling-indexing/http-https"
"Links: Pages Without Internal Outlinks","Warning","High","1","100.000","Pages with no links to other internal pages. Search engines have trouble discovering pages that are not linked, and PageRank cannot flow onwards.","Link to relevant internal pages to help users continue their journey and pass PageRank onwards. If links are only client-side, render them server-side.","https://www.screamingfrog.co.uk/seo-spider/issues/"
"GEO: Missing XML Sitemap","Issue","Medium","1","100.000","No XML sitemap found. Sitemaps are the primary discovery mechanism for search engines and many AI crawlers.","Generate a sitemap.xml of canonical URLs and reference it from robots.txt.","https://developers.google.com/search/docs/crawling-indexing/sitemaps/overview"
"Canonicals: Missing","Warning","Medium","1","100.000","Pages with no canonical URL (link element or HTTP header). Without one, search engines pick the version they consider best, which can be unpredictable when multiple versions exist.","Specify a canonical URL on every indexable page.","https://developers.google.com/search/docs/crawling-indexing/consolidate-duplicate-urls"
"GEO: Missing robots.txt","Warning","Medium","1","100.000","No robots.txt found. Crawlers (search and AI) fall back to default behavior and you lose the ability to declare sitemaps and per-bot policies.","Add a robots.txt declaring crawl policy and the sitemap location.","https://developers.google.com/search/docs/crawling-indexing/robots/intro"
"Page Titles: Over 60 Characters","Opportunity","Medium","1","100.000","Pages whose titles exceed 60 characters. Characters over the limit may be truncated in Google's search results and carry less weight in scoring.","Write concise page titles so important words are not truncated in the SERPs.","https://www.screamingfrog.co.uk/seo-spider/issues/"
"Social: Missing Open Graph Tags","Opportunity","Medium","1","100.000","Pages without Open Graph tags (og:title, og:description, og:image). Shares on social platforms and chat apps render without a rich preview, lowering CTR.","Add og:title, og:description, og:image and og:url meta tags.","https://ogp.me/"
"GEO: Missing llms.txt","Opportunity","Medium","1","100.000","No llms.txt found. llms.txt is an emerging standard that gives LLMs and AI agents a curated, markdown map of your most important content - improving how AI systems summarize and cite the site.","Add /llms.txt with a short site description and links to key pages and docs.","https://llmstxt.org/"
"AIO: Missing Organization Schema","Opportunity","Medium","1","100.000","No Organization (or WebSite) schema found anywhere on the site. Entity-level markup helps AI systems attribute content to a verified organization (E-E-A-T).","Add Organization JSON-LD (name, url, logo, sameAs) on the homepage.","https://schema.org/Organization"
"H2: Multiple","Warning","Low","1","100.000","Pages with multiple <h2>s. HTML standards allow this within a logical heading hierarchy; the filter helps review whether they are used appropriately.","Ensure <h2>s sit in a logical hierarchical structure, using h3-h6 for deeper levels where appropriate.","https://www.screamingfrog.co.uk/seo-spider/issues/"
